comune,year,month,t_mean
Acquafondata,2025,7,20.3
Acquafondata,2025,8,19.22
Acquafondata,2025,9,15.85
Acquafondata,2025,10,9.99
Acquafondata,2025,11,5.84
Acquafondata,2025,12,3.14
Acquafondata,2026,1,2.54
Acquafondata,2026,2,4.79
Acquafondata,2026,3,5.25
Acquafondata,2026,4,9.96
Acquafondata,2026,5,12.58
Acquafondata,2026,6,17.72
Alvito,2011,1,1.6
Alvito,2011,2,1.62
Alvito,2011,3,3.28
Alvito,2011,4,6.33
Alvito,2011,5,11.28
Alvito,2011,6,16.82
Alvito,2011,7,18.59
Alvito,2011,8,20.77
Alvito,2011,9,18.07
Alvito,2011,10,10.95
Alvito,2011,11,6.47
Alvito,2011,12,3.51
Alvito,2012,1,1.22
Alvito,2012,2,-1.53
Alvito,2012,3,7.43
Alvito,2012,4,8.66
Alvito,2012,5,12.09
Alvito,2012,6,19.52
Alvito,2012,7,21.96
Alvito,2012,8,22.52
Alvito,2012,9,16.61
Alvito,2012,10,12.45
Alvito,2012,11,8.25
Alvito,2012,12,1.77
Alvito,2013,1,2.09
Alvito,2013,2,1.21
Alvito,2013,3,5.36
Alvito,2013,4,9.8
Alvito,2013,5,11.54
Alvito,2013,6,15.78
Alvito,2013,7,18.97
Alvito,2013,8,20.04
Alvito,2013,9,15.91
Alvito,2013,10,13.27
Alvito,2013,11,6.72
Alvito,2013,12,3.15
Alvito,2014,1,4.02
Alvito,2014,2,5.24
Alvito,2014,3,3.83
Alvito,2014,4,8.73
Alvito,2014,5,11.33
Alvito,2014,6,16.62
Alvito,2014,7,17.64
Alvito,2014,8,19.12
Alvito,2014,9,15.36
Alvito,2014,10,12.55
Alvito,2014,11,9.27
Alvito,2014,12,3.16
Alvito,2015,1,2.29
Alvito,2015,2,1.53
Alvito,2015,3,5.34
Alvito,2015,4,8.94
Alvito,2015,5,13.78
Alvito,2015,6,16.89
Alvito,2015,7,22.33
Alvito,2015,8,20.54
Alvito,2015,9,16.28
Alvito,2015,10,10.53
Alvito,2015,11,7.59
Alvito,2015,12,3.91
Alvito,2016,1,2.86
Alvito,2016,2,5.92
Alvito,2016,3,5.59
Alvito,2016,4,11.37
Alvito,2016,5,12.38
Alvito,2016,6,16.77
Alvito,2016,7,20.66
Alvito,2016,8,19.53
Alvito,2016,9,15.16
Alvito,2016,10,11.23
Alvito,2016,11,6.9
Alvito,2016,12,2.82
Alvito,2017,1,-1.75
Alvito,2017,2,4.93
Alvito,2017,3,7.2
Alvito,2017,4,8.6
Alvito,2017,5,13.25
Alvito,2017,6,19.15
Alvito,2017,7,20.48
Alvito,2017,8,22.36
Alvito,2017,9,14.02
Alvito,2017,10,11.31
Alvito,2017,11,5.73
Alvito,2017,12,1.93
Alvito,2018,1,4.39
Alvito,2018,2,1.18
Alvito,2018,3,4.79
Alvito,2018,4,12.03
Alvito,2018,5,13.81
Alvito,2018,6,17.38
Alvito,2018,7,20.89
Alvito,2018,8,19.19
Alvito,2018,9,16.21
Alvito,2018,10,12.52
Alvito,2018,11,7.47
Alvito,2018,12,3.26
Alvito,2019,1,-0.53
Alvito,2019,2,3.52
Alvito,2019,3,7.11
Alvito,2019,4,8.35
Alvito,2019,5,9.38
Alvito,2019,6,20.06
Alvito,2019,7,20.8
Alvito,2019,8,21.3
Alvito,2019,9,16.6
Alvito,2019,10,13.02
Alvito,2019,11,8.07
Alvito,2019,12,4.49
Alvito,2020,1,3.04
Alvito,2020,2,4.97
Alvito,2020,3,5.35
Alvito,2020,4,9.08
Alvito,2020,5,13.61
Alvito,2020,6,15.71
Alvito,2020,7,20.34
Alvito,2020,8,21.3
Alvito,2020,9,16.63
Alvito,2020,10,9.92
Alvito,2020,11,7.88
Alvito,2020,12,3.87
Alvito,2021,1,1.49
Alvito,2021,2,5.24
Alvito,2021,3,4.5
Alvito,2021,4,7.05
Alvito,2021,5,12.5
Alvito,2021,6,18.51
Alvito,2021,7,21.22
Alvito,2021,8,20.74
Alvito,2021,9,16.93
Alvito,2021,10,10.47
Alvito,2021,11,8.15
Alvito,2021,12,3.22
Alvito,2022,1,2.41
Alvito,2022,2,4.08
Alvito,2022,3,3.69
Alvito,2022,4,8.21
Alvito,2022,5,15.05
Alvito,2022,6,20.99
Alvito,2022,7,22.81
Alvito,2022,8,20.7
Alvito,2022,9,16.01
Alvito,2022,10,13.74
Alvito,2022,11,7.64
Alvito,2022,12,5.97
Alvito,2023,1,2.58
Alvito,2023,2,3.32
Alvito,2023,3,6.7
Alvito,2023,4,7.55
Alvito,2023,5,12.41
Alvito,2023,6,17.52
Alvito,2023,7,22.51
Alvito,2023,8,20.18
Alvito,2023,9,17.71
Alvito,2023,10,15.23
Alvito,2023,11,7.52
Alvito,2023,12,5.06
Alvito,2024,1,4.27
Alvito,2024,2,6.52
Alvito,2024,3,7.89
Alvito,2024,4,10.37
Alvito,2024,5,13.58
Alvito,2024,6,19.58
Alvito,2024,7,23.7
Alvito,2024,8,23.25
Alvito,2024,9,15.96
Alvito,2024,10,13.55
Alvito,2024,11,7.18
Alvito,2024,12,3.25
Alvito,2025,1,4.23
Alvito,2025,2,4.87
Alvito,2025,3,7.17
Alvito,2025,4,9.91
Alvito,2025,5,12.75
Alvito,2025,6,21.24
Alvito,2025,7,21.1
Alvito,2025,8,19.95
Alvito,2025,9,17.46
Alvito,2025,10,10.92
Alvito,2025,11,7.06
Alvito,2025,12,4.49
Alvito,2026,1,3.34
Alvito,2026,2,5.96
Alvito,2026,3,6.05
Alvito,2026,4,11.29
Alvito,2026,5,13.54
Alvito,2026,6,19.01
Aquino,2011,1,6.86
Aquino,2011,2,6.86
Aquino,2011,3,9.41
Aquino,2011,4,13.78
Aquino,2011,5,17.72
Aquino,2011,6,22.09
Aquino,2011,7,23.49
Aquino,2011,8,25.44
Aquino,2011,9,22.94
Aquino,2011,10,16.07
Aquino,2011,11,11.51
Aquino,2011,12,8.64
Aquino,2012,1,6.05
Aquino,2012,2,4.09
Aquino,2012,3,12.36
Aquino,2012,4,13.95
Aquino,2012,5,17.18
Aquino,2012,6,23.78
Aquino,2012,7,26.15
Aquino,2012,8,26.95
Aquino,2012,9,21.25
Aquino,2012,10,17.18
Aquino,2012,11,13.55
Aquino,2012,12,6.71
Aquino,2013,1,7.13
Aquino,2013,2,6.32
Aquino,2013,3,10.69
Aquino,2013,4,15.27
Aquino,2013,5,17.24
Aquino,2013,6,20.98
Aquino,2013,7,24.26
Aquino,2013,8,25.23
Aquino,2013,9,20.94
Aquino,2013,10,17.86
Aquino,2013,11,12.0
Aquino,2013,12,7.86
Aquino,2014,1,8.98
Aquino,2014,2,10.75
Aquino,2014,3,9.83
Aquino,2014,4,14.15
Aquino,2014,5,16.88
Aquino,2014,6,21.88
Aquino,2014,7,22.8
Aquino,2014,8,23.96
Aquino,2014,9,20.57
Aquino,2014,10,17.56
Aquino,2014,11,14.11
Aquino,2014,12,8.51
Aquino,2015,1,7.56
Aquino,2015,2,7.36
Aquino,2015,3,10.78
Aquino,2015,4,13.94
Aquino,2015,5,18.82
Aquino,2015,6,22.53
Aquino,2015,7,27.99
Aquino,2015,8,26.02
Aquino,2015,9,21.78
Aquino,2015,10,16.31
Aquino,2015,11,12.36
Aquino,2015,12,8.25
Aquino,2016,1,8.1
Aquino,2016,2,10.97
Aquino,2016,3,10.86
Aquino,2016,4,16.16
Aquino,2016,5,17.39
Aquino,2016,6,22.0
Aquino,2016,7,26.08
Aquino,2016,8,25.35
Aquino,2016,9,20.62
Aquino,2016,10,16.35
Aquino,2016,11,11.95
Aquino,2016,12,7.46
Aquino,2017,1,4.25
Aquino,2017,2,10.0
Aquino,2017,3,12.13
Aquino,2017,4,13.52
Aquino,2017,5,18.3
Aquino,2017,6,23.87
Aquino,2017,7,25.37
Aquino,2017,8,26.88
Aquino,2017,9,19.16
Aquino,2017,10,15.94
Aquino,2017,11,10.89
Aquino,2017,12,6.99
Aquino,2018,1,9.22
Aquino,2018,2,6.58
Aquino,2018,3,10.23
Aquino,2018,4,16.85
Aquino,2018,5,18.96
Aquino,2018,6,22.56
Aquino,2018,7,25.99
Aquino,2018,8,24.89
Aquino,2018,9,21.82
Aquino,2018,10,17.98
Aquino,2018,11,12.49
Aquino,2018,12,8.33
Aquino,2019,1,4.99
Aquino,2019,2,8.51
Aquino,2019,3,12.06
Aquino,2019,4,13.42
Aquino,2019,5,14.57
Aquino,2019,6,24.41
Aquino,2019,7,25.81
Aquino,2019,8,26.06
Aquino,2019,9,21.85
Aquino,2019,10,17.53
Aquino,2019,11,13.18
Aquino,2019,12,9.6
Aquino,2020,1,7.59
Aquino,2020,2,9.86
Aquino,2020,3,10.35
Aquino,2020,4,13.86
Aquino,2020,5,18.52
Aquino,2020,6,20.61
Aquino,2020,7,24.88
Aquino,2020,8,25.6
Aquino,2020,9,21.8
Aquino,2020,10,14.83
Aquino,2020,11,12.77
Aquino,2020,12,8.87
Aquino,2021,1,6.84
Aquino,2021,2,9.83
Aquino,2021,3,9.62
Aquino,2021,4,12.16
Aquino,2021,5,17.17
Aquino,2021,6,23.06
Aquino,2021,7,25.66
Aquino,2021,8,25.69
Aquino,2021,9,21.99
Aquino,2021,10,15.61
Aquino,2021,11,13.3
Aquino,2021,12,8.23
Aquino,2022,1,7.07
Aquino,2022,2,9.0
Aquino,2022,3,8.92
Aquino,2022,4,13.29
Aquino,2022,5,19.71
Aquino,2022,6,25.49
Aquino,2022,7,27.54
Aquino,2022,8,26.11
Aquino,2022,9,20.92
Aquino,2022,10,18.09
Aquino,2022,11,12.71
Aquino,2022,12,10.85
Aquino,2023,1,7.72
Aquino,2023,2,7.94
Aquino,2023,3,11.56
Aquino,2023,4,12.8
Aquino,2023,5,17.6
Aquino,2023,6,22.4
Aquino,2023,7,26.81
Aquino,2023,8,24.85
Aquino,2023,9,22.5
Aquino,2023,10,19.67
Aquino,2023,11,13.01
Aquino,2023,12,9.96
Aquino,2024,1,9.43
Aquino,2024,2,11.2
Aquino,2024,3,12.9
Aquino,2024,4,15.21
Aquino,2024,5,18.63
Aquino,2024,6,23.97
Aquino,2024,7,28.22
Aquino,2024,8,28.42
Aquino,2024,9,21.3
Aquino,2024,10,18.36
Aquino,2024,11,12.17
Aquino,2024,12,8.38
Aquino,2025,1,9.36
Aquino,2025,2,9.84
Aquino,2025,3,12.37
Aquino,2025,4,15.04
Aquino,2025,5,17.99
Aquino,2025,6,26.07
Aquino,2025,7,26.49
Aquino,2025,8,25.53
